,token,median,std,p
147,Aratome15a_S14_W06,1727.0,789.450677304,4908.0
148,Aratome15a_S14_W07,1549.0,796.339844499,4535.0
149,Aratome15a_S14_W08,1517.0,934.491116468,4817.0
150,Aratome15a_S14_W09,1556.0,679.411714914,4252.0
151,Aratome15a_S14_W10,1577.0,736.55224432,4637.0
152,Aratome15a_S14_W11,1587.0,801.405162274,4891.0
153,Aratome15a_S14_W12,1604.0,863.05468925,4668.0
154,Aratome15a_S15_W01,2162.0,1179.36381606,6827.0
155,Aratome15a_S15_W02,2102.0,1275.0092495,7306.0
156,Aratome15a_S15_W03,2000.0,1073.74536867,6253.0
157,Aratome15a_S15_W05,2212.0,1135.24779602,6761.0
158,Aratome15a_S15_W06,2179.0,1118.17835288,6742.0
159,Aratome15a_S15_W07,2239.0,1022.29326316,6158.0
160,Aratome15a_S15_W08,1946.0,1011.0703689,6071.0
161,Aratome15a_S15_W09,1934.0,902.393302001,5587.0
162,Aratome15a_S15_W10,2037.0,1223.89137765,7135.0
163,Aratome15a_S15_W11,1803.0,1002.37632448,6032.0
164,Aratome15a_S15_W12,1276.0,128.239595885,1529.0
165,Aratome15a_S16_W01,1971.0,1280.31716464,6416.0
166,Aratome15a_S16_W02,1965.0,1279.25649888,6552.0
167,Aratome15a_S16_W03,2054.0,1309.14905927,7265.0
168,Aratome15a_S16_W04,2166.0,1455.40641943,7998.0
169,Aratome15a_S16_W05,2175.0,1116.85465214,6363.0
170,Aratome15a_S16_W06,1938.0,1245.65303986,7031.0
171,Aratome15a_S16_W07,2006.0,1055.3828468,6174.0
172,Aratome15a_S16_W08,1903.0,1032.59329815,5860.0
173,Aratome15a_S16_W09,2173.0,1444.85242173,8119.0
174,Aratome15a_S16_W10,2429.0,1604.25624269,8901.0
175,Aratome15a_S16_W11,2192.0,1129.19285683,6688.73
176,Aratome15a_S16_W12,1907.0,1160.44193583,6737.0
177,Aratome15a_S17_W01,2088.0,1137.79598807,6582.0
178,Aratome15a_S17_W02,2254.0,1295.53056255,7387.0
179,Aratome15a_S17_W03,2061.0,1380.15242386,7796.0
180,Aratome15a_S17_W04,2837.0,1760.78627532,9868.57
181,Aratome15a_S17_W05,2621.0,1482.3533798,8538.0
182,Aratome15a_S17_W06,2353.0,1015.49524669,6123.0
183,Aratome15a_S17_W07,1993.0,916.576832846,5592.0
184,Aratome15a_S17_W08,2100.0,1068.14421447,6328.0
185,Aratome15a_S17_W09,2180.0,1186.96375038,6940.0
186,Aratome15a_S17_W10,2664.0,1502.43181853,8683.0
187,Aratome15a_S17_W11,2370.0,1390.03336537,7957.0
188,Aratome15a_S17_W12,2164.0,1211.07593407,7189.0
189,Aratome15a_S18_W01,1729.0,880.756347227,5325.0
190,Aratome15a_S18_W02,1947.0,1216.94758826,6945.0
191,Aratome15a_S18_W03,1975.0,1241.55149904,7069.0
192,Aratome15a_S18_W04,1837.0,1116.47848881,6464.0
193,Aratome15a_S18_W05,1762.0,1080.25318739,6312.0
194,Aratome15a_S18_W06,1734.0,1074.48847108,5929.0
195,Aratome15a_S18_W07,1828.0,1178.88856336,6755.0
196,Aratome15a_S18_W08,1932.0,1174.85612454,6766.0
197,Aratome15a_S18_W09,1686.0,1018.83506261,5965.0
198,Aratome15a_S18_W10,2121.0,1407.2706012,7944.0
199,Aratome15a_S18_W11,2132.0,1072.10499274,6180.0
200,Aratome15a_S18_W12,2022.0,1268.05615444,6888.0
201,Aratome15a_S19_W01,1757.0,1197.09675466,6758.0
202,Aratome15a_S19_W02,1838.0,1061.30784803,6064.0
203,Aratome15a_S19_W03,1609.0,1029.85143086,5923.0
204,Aratome15a_S19_W04,1921.0,1210.40546522,6832.0
205,Aratome15a_S19_W05,1772.0,895.312341739,5261.0
206,Aratome15a_S19_W06,1772.0,991.051998546,5815.0
207,Aratome15a_S19_W07,1731.0,1001.52843088,5839.0
208,Aratome15a_S19_W08,1905.0,1149.80969938,6522.0
209,Aratome15a_S19_W09,2065.0,1171.11496119,6560.0
210,Aratome15a_S19_W10,1822.0,1062.92803463,6211.0
211,Aratome15a_S19_W11,1753.0,1020.92023103,5762.0
212,Aratome15a_S19_W12,1709.0,951.93656349,5624.0
213,S15_W02,2102.0,1275.0092495,7306.0
214,S17_W01,2088.0,1137.79598807,6582.0
