,token,median,std,maxp,minp
68,Aratome15a_S07_W04,1451.0,1106.99301747,5074.0,1119.0
69,Aratome15a_S07_W05,1597.0,1107.05803928,5402.0,1201.0
70,Aratome15a_S07_W06,1691.0,1089.04615613,5456.0,1432.0
71,Aratome15a_S07_W07,1539.0,1124.92547549,5278.0,1029.0
72,Aratome15a_S07_W09,1437.0,1092.07084833,5464.0,1005.0
73,Aratome15a_S07_W11,1689.0,1060.42714315,5205.0,1352.0
74,Aratome15a_S07_W12,1716.0,1172.79143043,5694.0,1377.0
75,Aratome15a_S08_W01,905.0,792.11209712,3319.0,683.0
76,Aratome15a_S08_W02,906.0,717.272552257,3636.0,708.0
77,Aratome15a_S08_W03,906.0,625.718963382,2967.0,700.0
78,Aratome15a_S08_W04,1020.0,783.425677057,3425.0,864.0
79,Aratome15a_S08_W05,941.0,702.543909442,3336.0,748.0
80,Aratome15a_S08_W06,956.0,695.908630761,3413.0,807.0
81,Aratome15a_S08_W07,900.0,677.514583753,2973.0,638.0
82,Aratome15a_S08_W08,904.0,727.111982311,3147.0,668.0
83,Aratome15a_S08_W09,949.0,728.381887515,3510.0,726.0
84,Aratome15a_S08_W10,965.0,719.65738399,3357.0,789.0
85,Aratome15a_S08_W11,894.0,711.835625584,3149.0,728.0
86,Aratome15a_S08_W12,940.0,842.836943898,3364.0,779.0
87,Aratome15a_S09_W02,1290.0,1063.00973357,4672.0,905.0
88,Aratome15a_S09_W03,1268.0,1231.14110345,5206.0,804.0
89,Aratome15a_S09_W04,1299.0,1185.34657757,5204.0,1007.0
90,Aratome15a_S09_W05,1274.0,1107.43807853,4897.0,1020.0
91,Aratome15a_S09_W06,1328.0,1301.51134293,5534.0,1072.0
92,Aratome15a_S09_W07,1370.0,1332.61236368,5499.0,877.0
93,Aratome15a_S09_W08,1220.0,1155.93560543,5130.0,821.0
94,Aratome15a_S09_W10,1194.0,1210.74046594,5468.11,894.0
95,Aratome15a_S09_W11,1195.0,1167.53658397,5248.0,909.0
96,Aratome15a_S09_W12,1235.0,1288.67209406,5047.0,861.0
97,Aratome15a_S10_W01,1203.0,1166.61827877,5350.0,802.0
98,Aratome15a_S10_W02,1250.0,1220.88820964,5236.0,799.0
99,Aratome15a_S10_W03,1103.0,918.568055194,3987.0,680.0
100,Aratome15a_S10_W04,1198.0,1003.95865587,4402.0,956.0
101,Aratome15a_S10_W05,1296.0,1105.27997582,4958.0,988.0
102,Aratome15a_S10_W06,1485.0,1045.28817712,4976.0,1119.0
103,Aratome15a_S10_W07,1294.0,1130.38838211,4996.0,734.0
104,Aratome15a_S10_W08,1187.0,989.2954511,4518.0,732.0
105,Aratome15a_S10_W10,1329.0,1089.34570726,4832.0,816.0
106,Aratome15a_S10_W11,1333.0,1067.17116889,4880.0,928.0
107,Aratome15a_S10_W12,1205.0,1185.95455347,5161.0,850.0
108,Aratome15a_S11_W01,1286.0,1281.04702442,5644.0,787.0
109,Aratome15a_S11_W02,1275.0,1199.46326437,5436.0,880.0
110,Aratome15a_S11_W03,1304.0,1209.26081552,5313.0,910.0
111,Aratome15a_S11_W04,1312.0,1361.57645438,5746.0,896.0
112,Aratome15a_S11_W05,1323.0,1176.85240956,4951.0,945.0
113,Aratome15a_S11_W06,1298.0,1216.2667534,5398.0,919.0
114,Aratome15a_S11_W07,1189.0,1146.69186057,5363.0,906.0
115,Aratome15a_S11_W08,1312.0,1344.98201863,6047.0,927.0
116,Aratome15a_S11_W09,1262.0,1256.61998434,5370.0,898.0
117,Aratome15a_S11_W10,1301.0,1431.43344978,6125.0,1012.0
118,Aratome15a_S11_W11,1260.0,1349.87309665,5751.0,931.0
119,Aratome15a_S11_W12,1299.0,1400.46043855,5992.0,1023.0
120,Aratome15a_S12_W02,1596.0,1185.36662514,5648.0,1006.0
121,Aratome15a_S12_W03,1527.0,1111.0083034,5299.0,1158.0
122,Aratome15a_S12_W04,1736.0,1365.03323156,6518.0,1374.0
123,Aratome15a_S12_W05,1596.0,1265.65078144,5801.0,1345.0
124,Aratome15a_S12_W06,1624.0,1120.03495563,5254.0,1173.0
125,Aratome15a_S12_W07,1753.0,1140.12311534,5712.0,1111.0
126,Aratome15a_S12_W08,1667.0,1294.82633596,5941.0,1053.0
127,Aratome15a_S12_W09,1609.0,1297.32063318,6064.0,1249.0
128,Aratome15a_S12_W10,1512.0,1261.26542211,6050.0,1159.0
129,Aratome15a_S12_W11,1635.0,1419.3532976,6900.0,1268.0
130,Aratome15a_S12_W12,1567.0,1214.76055925,5872.0,1204.0
131,Aratome15a_S13_W01,1798.0,1526.62754304,6924.0,1163.0
132,Aratome15a_S13_W02,1564.0,1366.29028958,6207.0,1033.0
133,Aratome15a_S13_W03,1664.0,1527.50096141,7041.0,1082.0
134,Aratome15a_S13_W04,1476.0,1233.07865947,5672.0,1105.0
135,Aratome15a_S13_W05,1514.0,1417.06394548,6236.0,1111.0
136,Aratome15a_S13_W06,1735.0,1484.58901033,7074.76,1161.0
137,Aratome15a_S13_W07,1569.0,1432.58818583,6727.0,1058.0
138,Aratome15a_S13_W08,1464.0,1339.65263109,6127.0,1027.0
139,Aratome15a_S13_W09,1360.0,1304.96351932,5877.0,952.0
140,Aratome15a_S13_W10,1472.0,1557.84917614,7472.0,1040.0
141,Aratome15a_S13_W11,1548.0,1615.10452728,7388.0,1138.0
142,Aratome15a_S13_W12,1596.0,1471.09041481,6705.0,1293.0
143,Aratome15a_S14_W01,1506.0,1353.0585989,5817.0,867.0
144,Aratome15a_S14_W02,1554.0,1267.87653082,5611.0,1098.0
145,Aratome15a_S14_W03,1558.0,1369.42254008,5926.0,895.0
146,Aratome15a_S14_W04,1523.0,1207.61947236,5523.82,1191.0
147,Aratome15a_S14_W05,1499.0,1255.66426142,5738.22,1107.0
148,Aratome15a_S14_W06,1416.0,1057.67195153,4762.0,1148.0
149,Aratome15a_S14_W07,1594.0,1431.51343138,6179.0,1064.0
150,Aratome15a_S14_W08,1630.0,1436.04206382,6452.0,1088.0
151,Aratome15a_S14_W09,1579.0,1332.68505734,5873.0,1055.0
152,Aratome15a_S14_W10,1493.0,1164.66148305,5303.4,1155.0
153,Aratome15a_S14_W11,1524.0,1409.74043875,6322.0,1102.0
154,Aratome15a_S14_W12,1418.0,1159.73614425,5259.0,1022.0
155,Aratome15a_S15_W01,1520.0,1244.53307582,5744.0,1038.0
156,Aratome15a_S15_W02,1497.0,1325.21109394,6279.0,969.0
157,Aratome15a_S15_W03,1420.0,1184.43240841,5740.0,1031.0
158,Aratome15a_S15_W05,1671.0,1289.19918921,6047.0,1243.0
159,Aratome15a_S15_W06,1689.0,1495.85787919,6900.0,1367.0
160,Aratome15a_S15_W07,1573.0,1129.41023265,5337.0,1106.0
161,Aratome15a_S15_W08,1489.0,1110.02010089,5306.0,1085.0
162,Aratome15a_S15_W09,1478.0,1058.61605422,5115.0,1107.0
163,Aratome15a_S15_W10,1519.0,1304.20494861,6107.0,1096.0
164,Aratome15a_S15_W11,1509.0,1235.52174909,5736.0,1083.0
165,Aratome15a_S15_W12,1512.0,1322.99394053,6078.0,906.0
166,Aratome15a_S16_W01,1523.0,1295.0483156,5859.0,1024.0
167,Aratome15a_S16_W02,1675.0,1392.14465335,6450.0,1110.0
168,Aratome15a_S16_W03,1591.0,1235.75219121,5728.0,1102.0
169,Aratome15a_S16_W04,1608.0,1469.22320997,7043.0,1202.0
170,Aratome15a_S16_W05,1568.0,1308.96792682,6411.0,1215.0
171,Aratome15a_S16_W06,1629.0,1435.70537291,6722.0,1230.0
172,Aratome15a_S16_W07,1674.0,1287.5684159,6184.0,1166.0
173,Aratome15a_S16_W08,1743.0,1167.41628605,5478.0,1128.0
174,Aratome15a_S16_W09,1404.0,1016.05829183,4820.0,1046.0
175,Aratome15a_S16_W10,1825.0,1748.57315759,8573.0,1071.0
176,Aratome15a_S16_W11,1697.0,1554.45787771,7796.73,1180.0
177,Aratome15a_S16_W12,1812.0,1622.44282838,8001.0,1531.0
178,Aratome15a_S17_W01,1311.0,1246.91829577,5689.0,800.0
179,Aratome15a_S17_W02,1364.0,1402.72080198,6271.0,893.0
180,Aratome15a_S17_W03,1286.0,1187.82415731,5335.0,867.0
181,Aratome15a_S17_W04,1402.0,1368.8215255,6340.0,1099.0
182,Aratome15a_S17_W05,1467.0,1563.20980731,7090.0,1119.0
183,Aratome15a_S17_W06,1400.0,1488.28355309,6602.0,1049.0
184,Aratome15a_S17_W07,1294.0,1167.45503702,4999.7,916.0
185,Aratome15a_S17_W08,1337.0,1283.05254011,5747.6,899.0
186,Aratome15a_S17_W09,1356.0,1277.77992878,5844.35,886.0
187,Aratome15a_S17_W10,1744.0,1888.77746522,8698.0,1279.0
188,Aratome15a_S17_W11,1517.0,1747.91049203,8017.0,903.0
189,Aratome15a_S17_W12,1415.0,1597.99658683,7275.32,1110.0
190,Aratome15a_S18_W01,1518.0,1171.16541179,5535.0,1128.0
191,Aratome15a_S18_W02,1616.0,1273.74366414,6063.0,1138.0
192,Aratome15a_S18_W03,1639.0,1325.69004402,6147.0,1218.0
193,Aratome15a_S18_W04,1512.0,1243.19622092,6215.0,1183.0
194,Aratome15a_S18_W05,1551.0,1435.40384857,6881.31,1203.0
195,Aratome15a_S18_W06,1508.0,1339.73444389,6484.0,1194.0
196,Aratome15a_S18_W07,1631.0,1474.63950835,6795.0,1172.0
197,Aratome15a_S18_W08,1633.0,1262.76789905,6276.0,1175.0
198,Aratome15a_S18_W09,1520.0,1106.67972779,5272.0,1196.5
199,Aratome15a_S18_W10,1547.0,1403.80177682,6737.0,1076.0
200,Aratome15a_S18_W11,1512.0,1160.34300163,5714.0,1143.0
201,Aratome15a_S18_W12,1595.0,1470.86325196,6992.0,1164.0
202,Aratome15a_S19_W01,1202.0,1129.25245784,5281.0,835.0
203,Aratome15a_S19_W02,1224.0,1088.67306085,5050.0,834.0
204,Aratome15a_S19_W03,1208.0,1140.6902696,5333.0,827.0
205,Aratome15a_S19_W04,1200.0,1452.54617166,6479.0,833.0
206,Aratome15a_S19_W05,1274.0,1294.29259655,5951.0,937.0
207,Aratome15a_S19_W06,1261.0,1204.14909156,5661.0,905.0
208,Aratome15a_S19_W07,1271.0,1207.74742035,5559.0,838.0
209,Aratome15a_S19_W08,1264.0,1202.43691692,5476.0,781.0
210,Aratome15a_S19_W09,1286.0,1136.69688204,5326.0,823.0
211,Aratome15a_S19_W10,1149.0,1202.00839933,5524.0,910.0
212,Aratome15a_S19_W11,1244.0,1291.80801238,5769.0,801.0
213,Aratome15a_S19_W12,1198.0,1138.25315607,5141.0,906.0
214,S15_W02,1497.0,1325.21109394,6279.0,969.0
215,S17_W01,1311.0,1246.91829577,5689.0,800.0
